"Step","FFNN Traffic Generation 8April First - loss","FFNN Traffic Generation 8April First - loss__MIN","FFNN Traffic Generation 8April First - loss__MAX"
"0","0.37203128175560835","0.37203128175560835","0.37203128175560835"
"1","0.3195193438393295","0.3195193438393295","0.3195193438393295"
"2","0.3157807499834686","0.3157807499834686","0.3157807499834686"
"3","0.3148830814915857","0.3148830814915857","0.3148830814915857"
"4","0.31451047828812506","0.31451047828812506","0.31451047828812506"
"5","0.3143145488515781","0.3143145488515781","0.3143145488515781"
"6","0.31419622048640705","0.31419622048640705","0.31419622048640705"
"7","0.31411758530291783","0.31411758530291783","0.31411758530291783"
"8","0.31406233288869734","0.31406233288869734","0.31406233288869734"
"9","0.3140216778702797","0.3140216778702797","0.3140216778702797"
