"Step","FFNN Traffic Generation 9April Fourth - loss","FFNN Traffic Generation 9April Fourth - loss__MIN","FFNN Traffic Generation 9April Fourth - loss__MAX"
"0","0.5722192927340793","0.5722192927340793","0.5722192927340793"
"1","0.4491428439594378","0.4491428439594378","0.4491428439594378"
"2","0.3687026495007193","0.3687026495007193","0.3687026495007193"
"3","0.318399673102388","0.318399673102388","0.318399673102388"
"4","0.2775229596218486","0.2775229596218486","0.2775229596218486"
"5","0.24178612388812812","0.24178612388812812","0.24178612388812812"
"6","0.21120363784728535","0.21120363784728535","0.21120363784728535"
"7","0.18643297164872952","0.18643297164872952","0.18643297164872952"
"8","0.16592002945958048","0.16592002945958048","0.16592002945958048"
"9","0.15085620170898117","0.15085620170898117","0.15085620170898117"
